Azimuth (degrees), Elevation (degrees), x (milliGauss), y (milliGauss), z (milliGauss)
163.327, -76.4066, -591, 177, -732
163.274, -76.3763, -594, 178.5, -736.5
163.595, -76.6813, -591, 174, -735
162.356, -75.7169, -589.5, 187.5, -736.5
162.35, -75.6074, -594, 189, -736.5
162.266, -75.3501, -591, 189, -723
163.595, -76.6287, -591, 174, -732
163.182, -76.1028, -595.5, 180, -727.5
162.731, -76.2392, -579, 180, -735
162.481, -75.8277, -594, 187.5, -742.5
162.646, -76.2121, -576, 180, -733.5
163.154, -76.2687, -589.5, 178.5, -730.5
163.461, -76.6494, -591, 175.5, -739.5
162.181, -75.5226, -588, 189, -732
162.754, -75.9913, -589.5, 183, -733.5
162.99, -76.3496, -583.5, 178.5, -735
162.836, -76.1006, -592.5, 183, -739.5
163.154, -76.3496, -589.5, 178.5, -735
162.411, -75.9363, -582, 184.5, -736.5
163.461, -76.597, -591, 175.5, -736.5
164.055, -77.125, -588, 168, -735
163.824, -76.8771, -589.5, 171, -733.5
163.02, -76.185, -589.5, 180, -732
162.969, -76.1832, -592.5, 181.5, -738
163.26, -76.6755, -583.5, 175.5, -741
163.501, -76.6232, -592.5, 175.5, -738
163.977, -77.125, -585, 168, -735
163.009, -75.9638, -594, 181.5, -726
163.65, -76.6608, -588, 172.5, -727.5
163.101, -76.1577, -592.5, 180, -730.5
163.863, -76.8511, -591, 171, -732
163.461, -76.4103, -591, 175.5, -726
164.325, -77.422, -588, 165, -739.5
163.65, -76.8953, -588, 172.5, -741
164.21, -77.422, -583.5, 165, -739.5
165.095, -77.7786, -603, 160.5, -741
164.015, -77.3972, -576, 165, -738
162.585, -76.4909, -559.5, 175.5, -730.5
160.648, -75.0903, -559.5, 196.5, -738
158.277, -73.0033, -568.5, 226.5, -741
153.177, -70.2296, -531, 268.5, -747
146.932, -67.2742, -481.5, 313.5, -748.5
139.062, -63.9921, -418.5, 363, -744
130.011, -60.6367, -345, 411, -730.5
121.701, -58.0156, -283.5, 459, -735
112.524, -55.0791, -211.5, 510, -730.5
106.117, -54.1752, -153, 529.5, -733.5
98.6525, -52.9236, -84, 552, -730.5
93.1967, -52.386, -31.5, 564, -732
88.9502, -51.775, 10.5, 573, -727.5
86.2161, -52.239, 37.5, 567, -732
85.5212, -51.7022, 45, 574.5, -727.5
85.4742, -52.0516, 45, 568.5, -729
85.2743, -52.289, 46.5, 562.5, -727.5
